date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:43:28	218363/218363	---M-Z	200	added ('OK')	text/html	etag:%22fcb18a227a78595e181a61121fa72645%22	https://multiple-center-712692.framer.app/	C:/Users/usuario09/Documents/GitHub/Luis-Moments/LUIS%20MOMENTS/multiple-center-712692.framer.app/index.html	(from )
12:43:28	77/77	---M-Z	200	added ('OK')	text/plain	etag:%223386a73def429b43202a0be85c9d5c4e%22	https://multiple-center-712692.framer.app/robots.txt		(from )
12:43:28	223/223	---M--	200	added ('OK')	image/png	etag:%22810193ede98443698ba6b54575e9cf3c%22	https://framerusercontent.com/sites/icons/default-favicon-light.v1.png	C:/Users/usuario09/Documents/GitHub/Luis-Moments/LUIS%20MOMENTS/framerusercontent.com/sites/icons/default-favicon-light.v1.png	(from https://multiple-center-712692.framer.app/)
12:43:28	227/227	---M--	200	added ('OK')	image/png	etag:%22e44c40138d977deec13c54928aec692d%22	https://framerusercontent.com/sites/icons/default-favicon-dark.v1.png	C:/Users/usuario09/Documents/GitHub/Luis-Moments/LUIS%20MOMENTS/framerusercontent.com/sites/icons/default-favicon-dark.v1.png	(from https://multiple-center-712692.framer.app/)
12:43:29	8598/8598	---M--	200	added ('OK')	image/png	etag:%2218abb0c2b2ff01a1658d805c5dd98278%22	https://framerusercontent.com/sites/icons/default-touch-icon.v3.png	C:/Users/usuario09/Documents/GitHub/Luis-Moments/LUIS%20MOMENTS/framerusercontent.com/sites/icons/default-touch-icon.v3.png	(from https://multiple-center-712692.framer.app/)
12:43:29	106867/106867	---MC-	200	added ('OK')	image/jpeg	etag:%2278fc75a9d5437e574ca6e02d4cf0271c%22	https://framerusercontent.com/images/Gk26fIFA6VsDrNq5uoZEuayGyCk.jpg?scale-down-to=1024&width=1024&height=1280	C:/Users/usuario09/Documents/GitHub/Luis-Moments/LUIS%20MOMENTS/framerusercontent.com/images/Gk26fIFA6VsDrNq5uoZEuayGyCk2791.jpg	(from https://multiple-center-712692.framer.app/)
12:43:29	141953/141953	---MC-	200	added ('OK')	image/jpeg	etag:%228d8e5c2fb9ca8d54b2787bce50c6407e%22	https://framerusercontent.com/images/Gk26fIFA6VsDrNq5uoZEuayGyCk.jpg?width=1024&height=1280	C:/Users/usuario09/Documents/GitHub/Luis-Moments/LUIS%20MOMENTS/framerusercontent.com/images/Gk26fIFA6VsDrNq5uoZEuayGyCkdfff.jpg	(from https://multiple-center-712692.framer.app/)
12:43:30	219592/219592	---MC-	200	added ('OK')	image/jpeg	etag:%2255281b4671f36f434d5a4986b2bd3bf4%22	https://framerusercontent.com/images/w0lpsxoCIEEF7ypUETzMuQhRqk.jpg?scale-down-to=1024&width=1092&height=1439	C:/Users/usuario09/Documents/GitHub/Luis-Moments/LUIS%20MOMENTS/framerusercontent.com/images/w0lpsxoCIEEF7ypUETzMuQhRqkc971.jpg	(from https://multiple-center-712692.framer.app/)
12:43:30	366976/366976	---MC-	200	added ('OK')	image/jpeg	etag:%225ebfde9dc5a9e94492e336733e68a563%22	https://framerusercontent.com/images/w0lpsxoCIEEF7ypUETzMuQhRqk.jpg?width=1092&height=1439	C:/Users/usuario09/Documents/GitHub/Luis-Moments/LUIS%20MOMENTS/framerusercontent.com/images/w0lpsxoCIEEF7ypUETzMuQhRqka14d.jpg	(from https://multiple-center-712692.framer.app/)
12:43:30	45061/45061	---MC-	200	added ('OK')	image/jpeg	etag:%220553d7104c58e6e472c6988fffb75b43%22	https://framerusercontent.com/images/T6MuSqWoNfghBiqPckHNITSdU.jpg?scale-down-to=512&width=1170&height=784	C:/Users/usuario09/Documents/GitHub/Luis-Moments/LUIS%20MOMENTS/framerusercontent.com/images/T6MuSqWoNfghBiqPckHNITSdU4e91.jpg	(from https://multiple-center-712692.framer.app/)
12:43:31	117695/117695	---MC-	200	added ('OK')	image/jpeg	etag:%2291b6e1108074fa60a309d08de389efc6%22	https://framerusercontent.com/images/T6MuSqWoNfghBiqPckHNITSdU.jpg?scale-down-to=1024&width=1170&height=784	C:/Users/usuario09/Documents/GitHub/Luis-Moments/LUIS%20MOMENTS/framerusercontent.com/images/T6MuSqWoNfghBiqPckHNITSdU0fd6.jpg	(from https://multiple-center-712692.framer.app/)
